representative,model,gold,tp,fp,fn,precision,recall,f1
medoid,M_GS1,GS1,575548,961,7112102,0.9983330702556248,0.0748665717091699,0.1392877363564762
medoid,M_GS1,GS2,537501,39008,948119,0.9323375697517298,0.3618024797727548,0.5213068629557123
medoid,M_GS2,GS1,823223,46,6864427,0.9999441251887293,0.10708382925861609,0.19345102450158438
medoid,M_GS2,GS2,821599,1670,664021,0.9979715014169124,0.5530344233384041,0.7116834113723094
shortest,M_GS1,GS1,634266,3191,7053384,0.9949941721559258,0.08250453649684884,0.15237425777230254
shortest,M_GS1,GS2,578450,59007,907170,0.9074337563161123,0.38936605592277973,0.5449166469233099
shortest,M_GS2,GS1,971642,205,6716008,0.999789061446915,0.1263899891384233,0.2244107250109331
shortest,M_GS2,GS2,968663,3184,516957,0.9967237641315968,0.6520260901172574,0.7883426308471282
lexical,M_GS1,GS1,557795,2092,7129855,0.9962635317483707,0.07255728343511997,0.1352634125800224
lexical,M_GS1,GS2,523809,36078,961811,0.9355619973316044,0.3525861256579744,0.512155666052475
lexical,M_GS2,GS1,901773,154,6785877,0.9998292544740317,0.11730151606797916,0.20996912886397084
lexical,M_GS2,GS2,900389,1538,585231,0.9982947622146804,0.6060695197964486,0.7542377176239882
