representative,fold,model,gold,tp,fp,fn
medoid,0,M_GS1,GS1,118645,196,1420455
medoid,0,M_GS1,GS2,110166,8675,188528
medoid,0,M_GS2,GS1,164629,3,1374471
medoid,0,M_GS2,GS2,164333,299,134361
medoid,1,M_GS1,GS1,117184,231,1421382
medoid,1,M_GS1,GS2,109019,8396,189141
medoid,1,M_GS2,GS1,165541,10,1373025
medoid,1,M_GS2,GS2,165194,357,132966
medoid,2,M_GS1,GS1,114867,246,1422971
medoid,2,M_GS1,GS2,107810,7303,189622
medoid,2,M_GS2,GS1,167620,17,1370218
medoid,2,M_GS2,GS2,167326,311,130106
medoid,3,M_GS1,GS1,111079,251,1423431
medoid,3,M_GS1,GS2,103294,8036,190810
medoid,3,M_GS2,GS1,162061,7,1372449
medoid,3,M_GS2,GS2,161699,369,132405
medoid,4,M_GS1,GS1,113773,37,1423863
medoid,4,M_GS1,GS2,107212,6598,190018
medoid,4,M_GS2,GS1,163372,9,1374264
medoid,4,M_GS2,GS2,163047,334,134183
shortest,0,M_GS1,GS1,129692,612,1409408
shortest,0,M_GS1,GS2,117391,12913,181303
shortest,0,M_GS2,GS1,194480,9,1344620
shortest,0,M_GS2,GS2,193924,565,104770
shortest,1,M_GS1,GS1,128901,601,1409665
shortest,1,M_GS1,GS2,117957,11545,180203
shortest,1,M_GS2,GS1,197544,8,1341022
shortest,1,M_GS2,GS2,197052,500,101108
shortest,2,M_GS1,GS1,127620,637,1410218
shortest,2,M_GS1,GS2,116530,11727,180902
shortest,2,M_GS2,GS1,196232,56,1341606
shortest,2,M_GS2,GS2,195599,689,101833
shortest,3,M_GS1,GS1,124912,1005,1409598
shortest,3,M_GS1,GS2,113573,12344,180531
shortest,3,M_GS2,GS1,194172,77,1340338
shortest,3,M_GS2,GS2,193504,745,100600
shortest,4,M_GS1,GS1,123141,336,1414495
shortest,4,M_GS1,GS2,112999,10478,184231
shortest,4,M_GS2,GS1,189214,55,1348422
shortest,4,M_GS2,GS2,188584,685,108646
lexical,0,M_GS1,GS1,111003,548,1428097
lexical,0,M_GS1,GS2,104408,7143,194286
lexical,0,M_GS2,GS1,178504,9,1360596
lexical,0,M_GS2,GS2,178293,220,120401
lexical,1,M_GS1,GS1,112506,228,1426060
lexical,1,M_GS1,GS2,105925,6809,192235
lexical,1,M_GS2,GS1,182139,22,1356427
lexical,1,M_GS2,GS2,181926,235,116234
lexical,2,M_GS1,GS1,113832,340,1424006
lexical,2,M_GS1,GS2,106344,7828,191088
lexical,2,M_GS2,GS1,185585,48,1352253
lexical,2,M_GS2,GS2,185322,311,112110
lexical,3,M_GS1,GS1,110633,815,1423877
lexical,3,M_GS1,GS2,103682,7766,190422
lexical,3,M_GS2,GS1,180047,20,1354463
lexical,3,M_GS2,GS2,179669,398,114435
lexical,4,M_GS1,GS1,109821,161,1427815
lexical,4,M_GS1,GS2,103450,6532,193780
lexical,4,M_GS2,GS1,175498,55,1362138
lexical,4,M_GS2,GS2,175179,374,122051
