representative,fold,model_policy,training_dictionary_lines,model_bytes,model_sha256,fingerprint,nodes,format_version,traversal_direction,case_processing_mode,diacritic_processing_mode,reduction_mode
medoid,0,GS1,24173,1161729,ce45500c63b0325c2e784324d91bd870be3ad6b39bb33b935ba62957e18d1914,cc01de1890eb4b5349c5c54a4f9880910d2735ff290c9ccb92669647036ac64a,126618,7,BACKWARD,LOWERCASE_WITH_LOCALE_ROOT,AS_IS,MERGE_SUBTREES_WITH_EQUIVALENT_RANKED_GET_ALL_RESULTS
medoid,0,GS2,39550,361289,4380545b64be2f9b52d4d7276ef6f25b452aa1d3684a16f5bd0b21320dec5501,06d3f1627352b95f511f81245c515fabe1279e3bdf89bb477800898c8666f448,40438,7,BACKWARD,LOWERCASE_WITH_LOCALE_ROOT,AS_IS,MERGE_SUBTREES_WITH_EQUIVALENT_RANKED_GET_ALL_RESULTS
medoid,1,GS1,24171,1168721,9e0431b0d86c83d81af4a920f99f9f04617ac0aee1985f16089e227321940d18,53c83bca6e51cf7ed39b910e4a2efeea0695dbe48ccf047d2c3c765ed08d16be,127091,7,BACKWARD,LOWERCASE_WITH_LOCALE_ROOT,AS_IS,MERGE_SUBTREES_WITH_EQUIVALENT_RANKED_GET_ALL_RESULTS
medoid,1,GS2,39516,367858,cabdb78eafd01e5b00db74a473a544b6bd211cb850b2c522fe117fc5f7a55925,c8d40cd557112408377ae9798ce4d24d72e665ef397704974c2edb43e8717c2f,41077,7,BACKWARD,LOWERCASE_WITH_LOCALE_ROOT,AS_IS,MERGE_SUBTREES_WITH_EQUIVALENT_RANKED_GET_ALL_RESULTS
medoid,2,GS1,24171,1160770,a58580144ad464a730402305b708c626aba881b37d8f2b4418d29de3ab88874d,0b7e01f5c020e87204a1663cd6e768613157b4b09d49ea36b4b10f89bf5648b8,126311,7,BACKWARD,LOWERCASE_WITH_LOCALE_ROOT,AS_IS,MERGE_SUBTREES_WITH_EQUIVALENT_RANKED_GET_ALL_RESULTS
medoid,2,GS2,39411,362013,0182721b83303da3b1991c88c04a6fce322778e4def217cc4f79ea4f68f4c7fb,55feb1045c529694c30a8538fa6c4cd802e2f09cde1338a5d12ffabeb13ad867,40424,7,BACKWARD,LOWERCASE_WITH_LOCALE_ROOT,AS_IS,MERGE_SUBTREES_WITH_EQUIVALENT_RANKED_GET_ALL_RESULTS
medoid,3,GS1,24171,1163226,8f0dc0d058de403e82efdaf784e4d99d41bdcd273f045774a40d5cb472f0f3c7,8acaf6d0b10c115860e105e013ef1c5a045437d39f063bf137819bc38e9aa0d3,127232,7,BACKWARD,LOWERCASE_WITH_LOCALE_ROOT,AS_IS,MERGE_SUBTREES_WITH_EQUIVALENT_RANKED_GET_ALL_RESULTS
medoid,3,GS2,39453,359400,6463f82d1c1303a2766f6790cadbcf6f28973edfdd0dfa7f755f94505c6164b3,d58db34d71a97f5f12da57ab888307c559a155c5e11a56f093e599c3519cd7a9,40251,7,BACKWARD,LOWERCASE_WITH_LOCALE_ROOT,AS_IS,MERGE_SUBTREES_WITH_EQUIVALENT_RANKED_GET_ALL_RESULTS
medoid,4,GS1,24174,1166807,0f4518253e801dee8050603d92ba1be6a4940eb2513e1953a759017338ee7fa0,39c67f7647b4ba27fd300adebf13d94cc97ed046636cda3ff84b029ae7b13586,127321,7,BACKWARD,LOWERCASE_WITH_LOCALE_ROOT,AS_IS,MERGE_SUBTREES_WITH_EQUIVALENT_RANKED_GET_ALL_RESULTS
medoid,4,GS2,39478,361040,974b8e930cd5146fd427c781ac3155f0922b784ea10af8f8c10a21d4a563438a,f778fffc2044cd824e9f78dc0870a97b2704bd33ce0fd23cc733069d5e5dea34,40287,7,BACKWARD,LOWERCASE_WITH_LOCALE_ROOT,AS_IS,MERGE_SUBTREES_WITH_EQUIVALENT_RANKED_GET_ALL_RESULTS
