representative,model,gold,forms,clusters,macro_precision,macro_recall,macro_f1,tp,fp,fn,pairwise_precision,pairwise_recall,pairwise_f1,training_dictionary_lines,model_bytes,model_sha256,nodes
medoid,M_GS1_FULL,GS1,298259,30215,1.0,1.0,1.0,7687650,0,0,1.0,1.0,1.0,30215,1428812,14d40dcc53c004b904c8518767ab59e0b740ec742a6976286b320fe8361790ef,154722
medoid,M_GS1_FULL,GS2,298259,49352,0.6122345598962555,1.0,0.6598181475232757,1485620,6202030,0,0.1932476114287201,1.0,0.3239019455439554,30215,1428812,14d40dcc53c004b904c8518767ab59e0b740ec742a6976286b320fe8361790ef,154722
medoid,M_GS2_FULL,GS1,298259,30215,1.0,0.9158552759199834,0.9410716825057184,1485620,0,6202030,1.0,0.1932476114287201,0.3239019455439554,49352,439297,b0043e4f0ef0bc904c3a8b82389d19e7b4f8c1deb160834029df61c8e4ad5b6f,48754
medoid,M_GS2_FULL,GS2,298259,49352,1.0,1.0,1.0,1485620,0,0,1.0,1.0,1.0,49352,439297,b0043e4f0ef0bc904c3a8b82389d19e7b4f8c1deb160834029df61c8e4ad5b6f,48754
shortest,M_GS1_FULL,GS1,298259,30215,1.0,1.0,1.0,7687650,0,0,1.0,1.0,1.0,30215,1042791,7b93f0178e96c84d88ff8d8b2e8e9bf6a3fffe8146a139b061a376db1859c980,111770
shortest,M_GS1_FULL,GS2,298259,49352,0.6122345598962555,1.0,0.6598181475232757,1485620,6202030,0,0.1932476114287201,1.0,0.3239019455439554,30215,1042791,7b93f0178e96c84d88ff8d8b2e8e9bf6a3fffe8146a139b061a376db1859c980,111770
shortest,M_GS2_FULL,GS1,298259,30215,1.0,0.9158552759199834,0.9410716825057184,1485620,0,6202030,1.0,0.1932476114287201,0.3239019455439554,49352,343817,86913e535fe5e9c6f284be52f5a8ba9e738e980fcd4e15c7dccab8d337825bc4,37852
shortest,M_GS2_FULL,GS2,298259,49352,1.0,1.0,1.0,1485620,0,0,1.0,1.0,1.0,49352,343817,86913e535fe5e9c6f284be52f5a8ba9e738e980fcd4e15c7dccab8d337825bc4,37852
lexical,M_GS1_FULL,GS1,298259,30215,1.0,1.0,1.0,7687650,0,0,1.0,1.0,1.0,30215,1359975,4ac1cb6e173afaadbc1b93dd9e3f440b337db20e2d13452b37913403786cdbc2,139612
lexical,M_GS1_FULL,GS2,298259,49352,0.6122345598962555,1.0,0.6598181475232757,1485620,6202030,0,0.1932476114287201,1.0,0.3239019455439554,30215,1359975,4ac1cb6e173afaadbc1b93dd9e3f440b337db20e2d13452b37913403786cdbc2,139612
lexical,M_GS2_FULL,GS1,298259,30215,1.0,0.9158552759199834,0.9410716825057184,1485620,0,6202030,1.0,0.1932476114287201,0.3239019455439554,49352,455006,118135c2cdd48445962aff8348a3dc0afabc33924c4a78a9c5baf477c1fce3a2,48386
lexical,M_GS2_FULL,GS2,298259,49352,1.0,1.0,1.0,1485620,0,0,1.0,1.0,1.0,49352,455006,118135c2cdd48445962aff8348a3dc0afabc33924c4a78a9c5baf477c1fce3a2,48386
